Model,Local duration mean (s),Local duration std (s),Duration mean (s),Duration std (s),Coefficient of variation,Checkpoint Size (MB),Throughput (MB/s),Checkpoint Speed (MB/s),Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Number of Parameters
ResNet-15,0.23,0.01,3.56,0.24,0.06694422732,6.27,"(57.19, 3.44)",1.65,50,5.42,0.97,5.3,1.96,693818
ResNet-32,0.44,0.01,3.38,0.28,0.08237384829,15.99,"(57.19, 3.44)",4.17,104,11.05,1.79,14.19,3.62,1857722
Custom ResNet 1,0.28,0.02,3.27,0.26,0.07857014149,9.26,"(57.19, 3.44)",2.59,62,6.71,1.13,8.12,2.33,1063226
Custom ResNet 2,0.33,0.01,3.15,0.17,0.05254895949,10.57,"(57.19, 3.44)",3.03,74,7.9,1.31,9.25,2.69,1211194
Custom ResNet 3,0.41,0.01,3.24,0.11,0.03290135982,12.78,"(57.19, 3.44)",3.46,98,10.41,1.68,11.09,3.42,1451706
Custom ResNet 4,0.51,0.04,3.46,0.18,0.05273245768,22.45,"(57.19, 3.44)",5.59,140,14.82,2.32,20.12,4.69,2633658
Custom ResNet 5,0.65,0.04,3.80,0.28,0.07269483172,28.7,"(57.19, 3.44)",6.46,170,17.94,2.78,25.9,5.6,3391034
Custom ResNet 6,0.81,0.04,3.84,0.22,0.05685111551,38.85,"(57.19, 3.44)",8.16,224,23.61,3.61,35.22,7.24,4610362
Custom ResNet 7,1.01,0.05,3.99,0.14,0.03565743353,48.15,"(57.19, 3.44)",9.33,278,29.26,4.44,43.68,8.88,5718842
Custom ResNet 8,1.21,0.07,4.10,0.10,0.02327347115,54.26,"(57.19, 3.44)",9.63,326,34.36,5.18,49.05,10.34,6421306
Shake 16,0.82,0.05,3.46,0.21,0.06023815308,9.57,"(57.19, 3.44)",2.20,210,21.03,3.91,5.64,7.35,737418
Shake small,0.75,0.03,3.65,0.27,0.07518672402,26.39,"(57.19, 3.44)",5.84,216,22.07,4.01,22.36,7.54,2926986
Shake 48,0.80,0.05,4.32,0.33,0.07633743513,54.19,"(57.19, 3.44)",10.36,216,22.13,4.01,50.16,7.54,6568282
Shake 64,0.86,0.05,5.01,0.30,0.06069830953,93.33,"(57.19, 3.44)",15.93,216,22.39,4.01,89.03,7.54,11661610
Shake 80,0.89,0.09,5.31,0.44,0.08363568838,143.01,"(57.19, 3.44)",22.66,216,22.42,4.01,138.98,7.54,18206970
Shake Large,1.03,0.08,6.64,0.53,0.08031958657,204.04,"(57.19, 3.44)",26.62,216,22.44,4.01,200.01,7.54,26204362
Custom ResNet 9,0.41,0.02,3.03,0.10,0.03247974068,19.21,,,,12.91,2.05,17.15,4.14,
Custom ResNet 10,0.82,0.05,3.39,0.11,0.03211590615,40.41,,,,25.49,3.89,36.49,7.79,
Shake small 32d,0.88,0.03,3.34,0.06,0.01817604131,33.18,,,,26.89,4.86,28.29,9.11,
Shake 64 32d,1.03,0.03,4.64,0.11,0.02455649812,117.61,,,,27.29,4.87,112.71,9.12,