Model,Local duration,Duration,Diff,Checkpoint Size (MB),Meta File Size,Weight File Size,Index File Size,Graph File Size
ResNet-15,0.24,3.71,3.47,6.27,0.97,5.3,5.42,1.96
ResNet-15,0.23,4.13,3.90,6.27,0.97,5.3,5.42,1.96
ResNet-15,0.24,3.90,3.67,6.27,0.97,5.3,5.42,1.96
ResNet-15,0.22,3.72,3.50,6.27,0.97,5.3,5.42,1.96
ResNet-15,0.23,3.49,3.26,6.27,0.97,5.3,5.42,1.96
ResNet-32,0.45,3.65,3.21,15.99,1.79,14.19,11.05,3.62
ResNet-32,0.46,3.86,3.40,15.99,1.79,14.19,11.05,3.62
ResNet-32,0.43,4.12,3.69,15.99,1.79,14.19,11.05,3.62
ResNet-32,0.43,3.45,3.01,15.99,1.79,14.19,11.05,3.62
ResNet-32,0.44,4.05,3.60,15.99,1.79,14.19,11.05,3.62
Custom ResNet 1,0.30,3.41,3.11,9.26,1.13,8.12,6.71,2.33
Custom ResNet 1,0.29,3.51,3.22,9.26,1.13,8.12,6.71,2.33
Custom ResNet 1,0.26,3.44,3.17,9.26,1.13,8.12,6.71,2.33
Custom ResNet 1,0.26,3.99,3.73,9.26,1.13,8.12,6.71,2.33
Custom ResNet 1,0.26,3.36,3.10,9.26,1.13,8.12,6.71,2.33
Custom ResNet 2,0.34,3.30,2.97,10.57,1.31,9.25,7.9,2.69
Custom ResNet 2,0.32,3.47,3.15,10.57,1.31,9.25,7.9,2.69
Custom ResNet 2,0.32,3.53,3.21,10.57,1.31,9.25,7.9,2.69
Custom ResNet 2,0.32,3.73,3.41,10.57,1.31,9.25,7.9,2.69
Custom ResNet 2,0.33,3.36,3.04,10.57,1.31,9.25,7.9,2.69
Custom ResNet 3,0.42,3.60,3.18,12.78,1.68,11.09,10.41,3.42
Custom ResNet 3,0.40,3.80,3.41,12.78,1.68,11.09,10.41,3.42
Custom ResNet 3,0.41,3.65,3.24,12.78,1.68,11.09,10.41,3.42
Custom ResNet 3,0.42,3.69,3.27,12.78,1.68,11.09,10.41,3.42
Custom ResNet 3,0.41,3.52,3.10,12.78,1.68,11.09,10.41,3.42
Custom ResNet 4,0.48,3.79,3.31,22.45,2.32,20.12,14.82,4.69
Custom ResNet 4,0.47,4.24,3.77,22.45,2.32,20.12,14.82,4.69
Custom ResNet 4,0.53,3.86,3.33,22.45,2.32,20.12,14.82,4.69
Custom ResNet 4,0.57,3.88,3.31,22.45,2.32,20.12,14.82,4.69
Custom ResNet 4,0.48,4.06,3.58,22.45,2.32,20.12,14.82,4.69
Custom ResNet 5,0.59,4.03,3.43,28.7,2.78,25.9,17.94,5.6
Custom ResNet 5,0.70,4.32,3.63,28.7,2.78,25.9,17.94,5.6
Custom ResNet 5,0.66,4.51,3.85,28.7,2.78,25.9,17.94,5.6
Custom ResNet 5,0.65,4.68,4.04,28.7,2.78,25.9,17.94,5.6
Custom ResNet 5,0.64,4.68,4.04,28.7,2.78,25.9,17.94,5.6
Custom ResNet 6,0.83,4.72,3.89,38.85,3.61,35.22,23.61,7.24
Custom ResNet 6,0.84,4.91,4.07,38.85,3.61,35.22,23.61,7.24
Custom ResNet 6,0.79,4.32,3.53,38.85,3.61,35.22,23.61,7.24
Custom ResNet 6,0.75,4.57,3.82,38.85,3.61,35.22,23.61,7.24
Custom ResNet 6,0.85,4.72,3.88,38.85,3.61,35.22,23.61,7.24
Custom ResNet 7,1.05,5.03,3.98,48.15,4.44,43.68,29.26,8.88
Custom ResNet 7,0.92,4.81,3.89,48.15,4.44,43.68,29.26,8.88
Custom ResNet 7,1.00,5.15,4.15,48.15,4.44,43.68,29.26,8.88
Custom ResNet 7,1.04,4.91,3.87,48.15,4.44,43.68,29.26,8.88
Custom ResNet 7,1.04,5.11,4.07,48.15,4.44,43.68,29.26,8.88
Custom ResNet 8,1.23,5.24,4.00,54.26,5.18,49.05,34.36,10.34
Custom ResNet 8,1.17,5.39,4.23,54.26,5.18,49.05,34.36,10.34
Custom ResNet 8,1.27,5.18,3.91,54.26,5.18,49.05,34.36,10.34
Custom ResNet 8,1.26,5.35,4.09,54.26,5.18,49.05,34.36,10.34
Custom ResNet 8,1.11,5.38,4.27,54.26,5.18,49.05,34.36,10.34
Shake 16,0.84,4.18,3.35,9.57,3.91,5.64,21.03,7.35
Shake 16,0.75,4.20,3.45,9.57,3.91,5.64,21.03,7.35
Shake 16,0.79,4.49,3.70,9.57,3.91,5.64,21.03,7.35
Shake 16,0.86,4.02,3.15,9.57,3.91,5.64,21.03,7.35
Shake 16,0.86,4.49,3.63,9.57,3.91,5.64,21.03,7.35
Shake small,0.75,4.84,4.09,26.39,4.01,22.36,22.07,7.54
Shake small,0.73,4.24,3.51,26.39,4.01,22.36,22.07,7.54
Shake small,0.79,4.49,3.71,26.39,4.01,22.36,22.07,7.54
Shake small,0.71,4.16,3.44,26.39,4.01,22.36,22.07,7.54
Shake small,0.79,4.28,3.49,26.39,4.01,22.36,22.07,7.54
Shake 48,0.83,5.05,4.22,54.19,4.01,50.16,22.13,7.54
Shake 48,0.75,5.19,4.43,54.19,4.01,50.16,22.13,7.54
Shake 48,0.80,5.57,4.77,54.19,4.01,50.16,22.13,7.54
Shake 48,0.75,5.16,4.41,54.19,4.01,50.16,22.13,7.54
Shake 48,0.87,4.65,3.78,54.19,4.01,50.16,22.13,7.54
Shake 64,0.81,6.07,5.26,93.33,4.01,89.03,22.39,7.54
Shake 64,0.90,5.93,5.03,93.33,4.01,89.03,22.39,7.54
Shake 64,0.87,6.24,5.37,93.33,4.01,89.03,22.39,7.54
Shake 64,0.80,5.62,4.82,93.33,4.01,89.03,22.39,7.54
Shake 64,0.93,5.51,4.58,93.33,4.01,89.03,22.39,7.54
Shake 80,1.04,5.98,4.94,143.01,4.01,138.98,22.42,7.54
Shake 80,0.86,6.23,5.37,143.01,4.01,138.98,22.42,7.54
Shake 80,0.92,6.84,5.92,143.01,4.01,138.98,22.42,7.54
Shake 80,0.82,5.64,4.82,143.01,4.01,138.98,22.42,7.54
Shake 80,0.82,6.32,5.50,143.01,4.01,138.98,22.42,7.54
Shake large,0.99,7.98,6.99,204.04,4.01,200.01,22.44,7.54
Shake large,1.02,7.19,6.17,204.04,4.01,200.01,22.44,7.54
Shake large,1.15,8.41,7.26,204.04,4.01,200.01,22.44,7.54
Shake large,0.93,7.17,6.24,204.04,4.01,200.01,22.44,7.54
Shake large,1.06,7.60,6.54,204.04,4.01,200.01,22.44,7.54