GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711906433,1.404678977,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.710938215,1.406591992,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.710623801,1.407214336,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.713746548,1.401057564,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711379111,1.405720219,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.71166712,1.40515133,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711706102,1.405074366,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711763918,1.404960233,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.699347079,1.429905164,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.712407351,1.403691299,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.712188482,1.40412268,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.71473819,1.399113709,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.714442372,1.399693018,K80,shakebig,0,1
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.539875507,0.393720085,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.571589947,0.388864485,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.527244091,0.395687937,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.564818382,0.389891154,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.583915472,0.387009564,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.583359957,0.387092785,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.521844625,0.396535135,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.55969882,0.390670962,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.538445473,0.393941887,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.562117815,0.390302114,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.517647266,0.397196229,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.567349911,0.389506703,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.566713572,0.38960327,K80,shakesmall,0.09770208583,0.1006984207
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.027602196,0.49319339,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,1.95513618,0.511473324,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.050427675,0.487703132,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.041935921,0.489731333,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.030066967,0.492594587,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.038570404,0.49053984,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.032358408,0.492039197,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,1.980448008,0.504936255,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.099328041,0.476342897,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.072199345,0.482579054,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.011659622,0.497101989,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.023070812,0.494298071,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.030786514,0.492420052,P100,shakebig,0.01615282092,0.42479146
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.91890192,0.144531605,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.963926315,0.143597154,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.905655384,0.144808848,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.964015007,0.143595325,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.982004642,0.143225342,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.893562317,0.14506288,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.298280716,0.158773488,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.953882694,0.143804554,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.969549179,0.143481303,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.979319096,0.143280453,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.938715935,0.144118884,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,7.001696587,0.142822527,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.974262714,0.143384332,P100,shakesmall,0.242437788,0.03650388954
4.113,81578046,0.3,,,11661610,1.275221109,0.784177734,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.268373966,0.78841101,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.275852919,0.783789405,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.259142756,0.794191123,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.274915218,0.784365882,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.263232946,0.791619632,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.27523756,0.784167618,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.260091066,0.793593437,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.274992108,0.78431858,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.260757685,0.793173829,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.275763512,0.783844334,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.252214551,0.798585194,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.277028084,0.783068135,K80,shakemid,0.01531181474,0.4381164524
9.526,81578046,0.3,,,11661610,3.236926079,0.308935075,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.24804163,0.307877827,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.069489241,0.325787101,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.268933773,0.305910144,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.180564165,0.314409629,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.117746592,0.320744477,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.172241688,0.315234493,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.193144798,0.313170891,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.167206049,0.315735694,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.218117714,0.310740653,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.159460068,0.316509777,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.308091164,0.30228913,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.128946304,0.319596408,P100,shakemid,0.05161607091,0.1821894201
4.113,5148794,0.3,,,737418,4.315175533,0.231740283,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.351917744,0.229783755,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.355074883,0.229617177,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.2016325,0.238002729,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.337063789,0.230570738,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.34094286,0.2303647,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.334887028,0.230686519,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.356991768,0.229516155,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.348404884,0.229969386,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.06568718,0.245960881,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.340705872,0.230377277,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.354028702,0.229672349,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.333805561,0.230744085,K80,shake16,0.42479146,0.01615282092
4.113,45938078,0.3,,,6568282,1.642912149,0.608675273,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.63175106,0.612838578,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.648057699,0.606774872,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.632593036,0.61252252,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.650557518,0.605855894,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.62547648,0.615204226,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.656746745,0.603592555,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.626883864,0.614672026,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.653073072,0.604933936,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.634483933,0.611813906,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.658328056,0.603016994,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.631752253,0.61283813,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.664426446,0.600807565,K80,shake48,0.03671324065,0.241349247
4.113,127382238,0.3,,,18206970,0.821312308,1.217563636,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.828626513,1.206816321,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.830891609,1.203526416,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.830009103,1.204806063,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.829051673,1.206197433,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.825652421,1.211163408,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.827834129,1.207971458,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.832086921,1.201797522,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.831203997,1.203074099,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.835648239,1.19667577,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.83992064,1.190588673,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.830042303,1.204757874,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.833638549,1.19956065,K80,shake80,0.005392662014,0.6910000367
9.526,5148794,0.3,,,737418,7.765321732,0.128777665,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.795516014,0.128278872,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.703331947,0.129813957,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.770971298,0.128684042,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.857872963,0.127260902,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.843464375,0.127494682,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.382807255,0.135449832,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.994361877,0.125088158,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.705901623,0.129770668,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.703012943,0.129819333,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.538617611,0.132650315,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.772497177,0.128658779,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.847983837,0.127421261,P100,shake16,1,0
9.526,45938078,0.3,,,6568282,4.245769978,0.235528539,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.238260269,0.235945868,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.239062309,0.235901227,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.113176346,0.24312111,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.251641273,0.235203286,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.184967518,0.238950481,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.237798214,0.235971594,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.291742325,0.233005601,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.2863307,0.233299778,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.129676342,0.242149727,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.293819904,0.232892861,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.295336723,0.232810619,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.296181202,0.232764856,P100,shake48,0.1011832927,0.09723209119
9.526,127382238,0.3,,,18206970,2.436048031,0.410500937,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.388613939,0.418652836,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.408522367,0.415192324,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.446396828,0.408764428,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.39550066,0.417449269,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.356471062,0.42436337,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.438165903,0.410144363,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.345353365,0.426374983,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.424469948,0.412461289,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.411535025,0.414673637,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.361737251,0.423417126,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.392803192,0.41791987,P100,shake80,0.02864260899,0.2913758764
9.526,127382238,0.3,,,18206970,2.427014112,0.412028919,P100,shake80,0.02864260899,0.2913758764