Step Time (s),Step Time STD,Predicted (s),GPU (temp),Model (temp),Error Mean,Error STD
0.06812378,0.000634913,0.135727701,P100,custom2,99.245544,1.856965438
0.154506768,0.000709751,0.172800933,K80,custom2,11.8415452,0.513761378
0.087910867,0.005212065,0.141321501,P100,custom3,61.03847196,9.547659072
0.204158856,0.004365412,0.185756572,K80,custom3,-8.983082167,1.90979539
0.118210224,0.001252452,0.168811037,P100,custom4,42.81379977,1.513129423
0.290134585,0.000804608,0.249424289,K80,custom4,-14.03102603,0.238071276
0.346513897,,0.290221562,K80,custom5,-16.24533258,
0.141301648,0.002295977,0.186425899,P100,custom5,31.95211463,2.144058771
0.447251138,0.004424905,0.355902651,K80,custom6,-20.41925996,0.783571189
0.189321793,0.000724281,0.214784741,P100,custom6,13.45066731,0.434117781
0.236022372,,0.240565516,P100,custom7,1.924878545,
0.563169366,0.004910846,0.415612757,K80,custom7,-26.19830119,0.643552009
0.272248076,0.003000574,0.256903294,P100,custom8,-5.627278907,1.025770751
0.657103275,,0.45345221,K80,custom8,-30.99224623,
0.105503504,0.000810356,0.144931627,K80,Res15,37.37833304,1.054978943
0.04036959,0.000255736,0.12369469,P100,Res15,206.414821,1.937531186
0.216637099,0.001097692,0.207627231,K80,Res32,-4.157332625,0.484224203
0.083207153,0.002202591,0.150764502,P100,Res32,81.28518887,4.706509121
0.128620297,0.001695693,0.124665059,P100,shake16,-36.59378333,1.454857306
0.232233149,0.005591834,0.147179072,K80,shake16,-3.066703403,1.277940681
0.235901227,,0.260188412,P100,shake48,10.29548905,
0.615204226,,0.461060778,K80,shake48,-25.05565493,
0.418348375,0.006172859,0.530788544,P100,shake80,26.89560144,1.874625584
1.204781969,3.40748E-05,1.087789893,K80,shake80,-9.710642932,0.002553648
1.401896343,0.003935239,1.518478058,K80,shakebig,8.316427829,0.304053153
0.492806721,0.000546833,0.716744918,P100,shakebig,45.44147405,0.161386052
0.78861626,0.004877791,0.735317466,K80,shakemid,-6.756143565,0.576523097
0.319478996,0.008921008,0.378603042,P100,shakemid,18.55261474,3.310417259
0.396865682,0.000467464,0.265019828,K80,shakesmall,-33.22173625,0.078657438
0.143280453,,0.175544656,P100,shakesmall,22.51821677,
0.059132926,0.001250898,0.132286284,P100,custom1,123.7776023,4.79184834