Wall time,Step,Value,Step Time
1564085123,101,23.60718155,
1564085127,201,27.24365807,0.03670579
1564085130,301,27.31091309,0.0366154
1564085134,401,27.10680962,0.036891099
1564085138,501,28.14125252,0.035535021
1564085141,601,27.72469139,0.036068932
1564085145,701,27.77112007,0.03600863
1564085148,801,27.30640984,0.036621438
1564085152,901,27.64711571,0.036170138
1564085156,1001,27.53229523,0.036320982
1564085159,1101,27.30972862,0.036616988
1564085163,1201,27.20299339,0.03676066
1564085167,1301,27.55388832,0.036292518
1564085170,1401,27.66555595,0.036146029
1564085174,1501,27.27397537,0.036664989
1564085178,1601,26.49822998,0.03773837
1564085181,1701,27.30391884,0.036624779
1564085185,1801,27.9439888,0.035785872
1564085189,1901,27.96887589,0.035754029
1564085192,2001,27.27827454,0.03665921
1564085196,2101,26.21504784,0.03814603
1564085200,2201,27.74263,0.036045609
1564085203,2301,27.16427994,0.03681305
1564085207,2401,27.35961533,0.036550221
1564085211,2501,23.39645958,0.04274151
1564085215,2601,28.11117554,0.035573041
1564085218,2701,28.41063309,0.035198089
1564085222,2801,27.65427208,0.036160778
1564085225,2901,28.1906929,0.0354727
1564085229,3001,28.39069366,0.03522281
1564085233,3101,26.96268654,0.037088292
1564085237,3201,25.53480148,0.039162239
1564085240,3301,26.70547104,0.037445511
1564085244,3401,27.61810112,0.036208137
1564085248,3501,27.41691589,0.036473833
1564085251,3601,27.8284893,0.035934398
1564085255,3701,28.10725594,0.035578002
1564085258,3801,27.83716393,0.0359232
1564085262,3901,27.83689308,0.035923549
,,27.37544667,0.036569523
,,0.880124995,0.001294837