Provisioning,Staging,Booting
1.637205078,40.44963306,39.98069897
1.844999023,28.38466602,40.19415894
1.477812012,29.14176001,41.00216504
1.694761963,47.10605396,40.187104
1.534187744,25.35118506,40.65133496
1.970058105,23.91734619,39.96882202
1.789069092,22.84171021,41.07117285
1.808520996,27.12168604,40.86399292
12.5292832,32.72829199,40.28978027
1.406442383,47.38869189,40.54521924
1.970363281,47.06261499,41.47957593
1.382980957,23.87657813,40.94017993
1.500507813,35.87688501,40.46126904
1.665192871,27.20503516,37.58338306